from n,tag,c/e,content,,,,,,,,,,,
0,使得,cause,美元流动性收紧,7,1,7,,,,,,,,
0,使得,effect,全球股市承压普跌,8,1,8,,,,,,,,
0,使得,cause,布雷顿森林体系的建立,10,1,10,,,,,,,,
0,使得,effect,美元的“霸权”地位由此确立,13,1,13,,,,,,,,
1,使得,cause,这一“鸽派”发声,8,3,8,,,,,,,,
1,使得,effect,投资者对欧央行未来实施宽松货币政策的预期升温,22,1,22,,,,,,,,
2,使得,cause,保险通证的应用,7,1,7,,,,,,,,
2,使得,effect,保险资产可以在区块链世界自由流通、配置,19,1,19,,,,,,,,
2,使得,cause,基于通证的保险资产权益载体和统一的产品标准可,22,1,13,15,21,,,,,,
2,使得,effect,共保、再保、保单质押等场景顺理成章地完成,20,1,20,,,,,,,,
3,导致,cause,全球经济增速放缓,8,1,8,,,,,,,,
3,导致,effect,对新西兰商品服务需求的下降,13,1,13,,,,,,,,
3,导致,cause,净移民数量减少和房价疲软等因素,15,1,7,9,12,,,,,,
3,导致,effect,家庭支出减少,6,1,6,,,,,,,,
3,带来,cause,降低官方现金利率为利率,11,1,8,,,,,,,,
3,带来,effect,更平衡的前景,6,1,6,,,,,,,,
3,使得,cause,本月的利率决策,7,4,7,,,,,,,,
3,使得,effect,新西兰成为首个降息的发达国家,14,1,14,,,,,,,,
4,带来,cause,但与风险偏好上升,8,3,8,,,,,,,,
4,带来,effect,的内生趋势的下降正好形成对冲,14,2,8,,,,,,,,
4,带来,cause,而这种风险溢价上升,9,4,9,,,,,,,,
4,带来,effect,的动能下降则对冲了政策主动向上拉动经济的空间,22,2,5,,,,,,,,
4,使得,cause,政绩效应均会,6,1,4,,,,,,,,
4,使得,effect,投资增速在换届后出现上涨以拉动经济上升,19,1,12,13,19,,,,,,
4,带来,cause,由就业补充型投资,8,2,8,,,,,,,,
4,带来,effect,的投资的尾部加快,8,2,8,,,,,,,,
4,使得,cause,财政投入带来的就业补充型投资拉动一般会,19,8,16,,,,,,,,
4,使得,effect,经济回到潜在增长率的位置,12,1,12,,,,,,,,
4,引起,cause,而供需相对关系的变化,10,2,10,,,,,,,,
4,引起,effect,价格的周期性波动,8,1,8,,,,,,,,
4,使得,cause,这必使得政策将控制价格,11,5,11,,,,,,,,
4,使得,effect,利益在二者保持均衡,9,1,9,,,,,,,,
4,使得,cause,而城镇化的预期和恩格尔系数的下降将,17,2,7,9,16,,,,,,
4,使得,effect,政策逐渐脱锚,6,1,6,,,,,,,,
4,使得,cause,说明利率的固性已,8,3,7,,,,,,,,
4,使得,effect,资本收益分配结构出现失衡,12,1,12,,,,,,,,
4,造成,cause,政府消费居民消费几次明显增长均是由于阶段性改革,23,19,23,,,,,,,,
4,造成,effect,的政策放宽,5,2,5,,,,,,,,
5,促进,cause,通过全面深化改革来,9,3,8,,,,,,,,
5,促进,effect,效率的提高和结构的优化,11,1,5,7,11,,,,,,
5,造成,cause,盘活由于粗放增长方式,10,5,10,,,,,,,,
5,造成,effect,的死资产存量,6,2,6,,,,,,,,
5,使得,cause,这样的结果就会,7,0,0,,,,,,,,
5,使得,effect,杠杆率进一步提高,8,1,8,,,,,,,,
5,造成,cause,五是要盘活由于粗放增长方式,13,8,13,,,,,,,,
5,因为,cause,第三产业的发展加速了,10,1,9,,,,,,,,
5,因为,effect,基本的原因就是,7,0,0,,,,,,,,
6,带来,cause,税延养老保险能,7,1,6,,,,,,,,
6,带来,effect,的优惠大幅下降,7,2,7,,,,,,,,
7,带来,cause,直接拒绝了一部分新的市场参与者以及新技术,20,9,15,18,20,,,,,,
7,带来,effect,的新式竞争环境,7,2,7,,,,,,,,
7,因为,cause,缺乏竞争活力,6,1,6,,,,,,,,
7,因为,effect,致使出租车行业,7,0,0,,,,,,,,
7,造成,cause,着重体现在出租车价格管控,12,6,12,,,,,,,,
7,造成,effect,了一系列的问题,7,0,0,,,,,,,,
7,带来,cause,新技术、新科技尤其是网络科技,14,1,14,,,,,,,,
7,带来,effect,的爆炸式发展,6,2,6,,,,,,,,
7,造成,cause,避免了过多的出租车辆,10,4,10,,,,,,,,
7,造成,effect,交通道路的拥堵,7,1,7,,,,,,,,
8,由于,cause,备案延期,4,1,4,,,,,,,,
8,由于,effect,或将出台统一整改验收标准,12,3,12,,,,,,,,
8,使得,cause,备案延期,4,1,4,,,,,,,,
8,使得,effect,整治的综合成本、社会成本提升,14,1,14,,,,,,,,
10,使得,cause,保险科技的使用,7,1,7,,,,,,,,
10,使得,effect,保险细分市场走向深入,10,1,10,,,,,,,,
14,使得,cause,公开市场净回笼和财政存款上升等因素,17,1,7,9,14,,,,,,
14,使得,effect,近期资金面明显收紧,9,3,9,,,,,,,,
