article,sentence,keyword,cause,effect
1,5,使得,布雷顿森林体系的建立,美元的“霸权”地位由此确立
1,10,使得,美联储收紧货币政策,美元再次进入全球“割韭菜”的上涨周期
1,10,使得,财政加杠杆,美元再次进入全球“割韭菜”的上涨周期
1,11,引发,大量新兴经济体的货币承压贬值,资本流出
1,11,引发,借入美债的部门资产负债表恶化,资本流出
1,12,使得,美元的“霸权”地位,多国对美元敬而远之
1,12,使得,新兴经济体的系统性风险,多国对美元敬而远之
1,21,使,欧盟应该团结在一起,一种可与美元相抗衡的全球储备货币
1,21,使,共同提升欧元的国际地位,一种可与美元相抗衡的全球储备货币
2,1,从而,投资者对欧央行未来实施宽松货币政策的预期升温,资本市场剧烈波动
2,9,使得,经济不振,欧央行在今年初就中断了其刚刚开始的货币正常化进程
2,16,使得,风险上升,避险资产的黄金价格一路走高
2,16,使得,全球地缘政治风险升级,避险资产的黄金价格一路走高
2,16,使得,多个经济体央行重返“降息潮”,避险资产的黄金价格一路走高
2,22,因为,全球经济正面对贸易和地缘政治风险的上升,黄金有望迎来爆发
2,22,因为,美联储明天的表态“偏鸽”接近甚至超过市场预期,黄金有望迎来爆发
3,1,促进,保险通证的应用使得保险资产可以在区块链世界自由流通、配置，并从技术层面协助保险监管机构提升对保险业务的有效监管能力,保险行业更加稳健、透明化发展
3,2,因此,优化业务路径助力监管升级,通过传统系统操作的部分更是成为监管“盲区”
3,2,因此,优化业务路径助力监管升级,不利于统筹监管
3,2,因此,部分险企无法实现整体业务完全上,通过传统系统操作的部分更是成为监管“盲区”
3,2,因此,部分险企无法实现整体业务完全上,不利于统筹监管
3,2,因此,区块链的价值无法得到最大化的发挥,通过传统系统操作的部分更是成为监管“盲区”
3,2,因此,区块链的价值无法得到最大化的发挥,不利于统筹监管
3,5,使得,PBT可以为保险监管机构提供统一的业务接口和数据标,数据更具有真实性、完整性
3,5,使得,PBT可以为保险监管机构提供统一的业务接口和数据标,面向过程的穿透式监管成为可能
3,5,使得,，借助区块链实时广播、交易即,数据更具有真实性、完整性
3,5,使得,，借助区块链实时广播、交易即,面向过程的穿透式监管成为可能
3,5,使得,降低保险公司与监管单位的数据上报、收集成,数据更具有真实性、完整性
3,5,使得,降低保险公司与监管单位的数据上报、收集成,面向过程的穿透式监管成为可能
3,6,使得,通证化的保险资产,保险业务的条款、过程对监管机构完全透明并可控
3,6,使得,通证化的保险资产,保险业务的展开过程从过程“黑盒”变成了过程可控
3,13,使得,基于通证的保险资产权益载体,共保、再保、保单质押等场景顺理成章地完成
3,13,使得,统一的产品标准,共保、再保、保单质押等场景顺理成章地完成
3,14,带来,行业可根据一致的标准建立对应的分布式业务体系,提升业务交易效率与透明性
3,14,带来,利用区块链的特,提升业务交易效率与透明性
3,14,带来,保险资产通证,提升业务交易效率与透明性
4,1,使得,新西兰央行两年半以来的首次降息,新西兰成为首个降息的发达国家
4,2,导致,全球经济增速放缓,对新西兰商品服务需求的下降
4,2,导致,全球经济增速放缓,降息以支持就业并实现通胀目标
4,4,使得,新西兰央行两年半以来的首次降息,新西兰成为首个降息的发达国家
4,5,导致,全球经济增速放缓,对新西兰商品服务需求的下降
4,5,导致,全球经济增速放缓,降息以支持就业并实现通胀目标
4,10,决定,全球贸易紧张局势拖累新西兰经济表现新西兰央行发表声,对通胀和就业近期前景较为疲软的判断
4,12,使得,全球贸易环境趋紧,新西兰经济备受挑战
4,16,导致,净移民数量减少,家庭支出减少
4,16,导致,净移民数量减少,企业信心不足
4,16,导致,净移民数量减少,投资领域缺乏动力
4,16,导致,房价疲软,家庭支出减少
4,16,导致,房价疲软,企业信心不足
4,16,导致,房价疲软,投资领域缺乏动力
4,17,带来,降息将支撑就业和通胀目标的实现,更平衡的前景
4,17,带来,降低官方现金利率,更平衡的前景
4,31,使得,全球各主要经济体央行货币政策逐渐由“鹰”转“鸽”,新西兰成为首个降息的发达国家
4,31,使得,美联储以及欧央行都已暂停紧缩脚步,新西兰成为首个降息的发达国家
5,4,因为-从而,观望风险则得以修复,经济重获弹性
5,8,带来,经济动能放缓,风险溢价提升
5,8,带来,经济自发下行的动能加强,风险溢价提升
5,8,带来,整体经济后期的不确定,风险溢价提升
5,10,带来,风险溢价上升,动能下降
5,12,使得,政绩效应,投资增速在换届后出现上涨以拉动经济上升
5,19,带来,投资增速的加快,充分就业
5,19,带来,就业补充型投资,充分就业
5,19,带来,经济在衰退或低增长,充分就业
5,19,带来,政府投资或货币政策的介入,充分就业
5,20,带来,后端拉动型投资,投资的尾部加快
5,20,带来,就业补充型投资,投资的尾部加快
5,22,使得,就业补充型投资拉动,经济回到潜在增长率的位置
5,22,使得,就业补充型投资拉动,便进入后端驱动的阶段
5,23,因此,目前正是处在就业补充型投资拉动的后段,积极的财政政策仍然继续拉动经济增长
5,33,使,CPI的运行高度将边际性,政策可能会渐行脱锚于价格因素
5,35,引起,CPI的短期运行实际上是由供给决,价格的周期性波动
5,35,引起,，而供需相对关系的,价格的周期性波动
5,38,使得,农业规模化、产业化预期,供给约束被打开
5,38,使得,波动幅度产生熨平效果,供给约束被打开
5,44,造成,日本CPI见顶的年份与日本人口见顶的年份,美国的人口和CPI长期趋势亦贴合得比较
5,44,造成,代的石油,美国的人口和CPI长期趋势亦贴合得比较
5,45,带来,国内人口自然增长率自上世纪六十年代以来出现了长趋势的下降,农产品价格拐点提前
5,45,带来,国内人口自然增长率自上世纪六十年代以来出现了长趋势的下降,CPI定基数步入下降通道的可能性亦
5,45,带来,国内人口自然增长率自上世纪六十年代以来出现了长趋势的下降,，但国内人口自然增长率的
5,45,带来,国内人口自然增长率自上世纪六十年代以来出现了长趋势的下降,趋势降低CPI的
5,45,带来,老龄化先行,农产品价格拐点提前
5,45,带来,老龄化先行,CPI定基数步入下降通道的可能性亦
5,45,带来,老龄化先行,，但国内人口自然增长率的
5,45,带来,老龄化先行,趋势降低CPI的
5,47,使得,肉价菜价的波动尚对人民生活影响较大,政策逐渐脱锚
