article,sentence,keyword,cause/effect,content,,,,,,,
40,24,导致,cause,其次，投资新项目或者拓展新业务,15,4,15,,,,
40,24,导致,effect,投资失败，也令企业滑向债务违约的境地,18,1,4,7,18,,
40,26,导致,cause,企业前期盲目扩张或者持续亏损将,15,1,14,,,,
40,26,导致,effect,营运资金严重依赖外部融资，债务规模持续积累性上升，加之盈利能力低迷或下降，届时相应的债务偿还能力也将随之受到考验,56,1,12,14,24,,
40,28,决定,cause,结合对违约个券的分析，业内认为，行业景气度是,22,17,21,,,,
40,28,决定,effect,信用资质变化的第一要素,11,1,6,,,,
40,34,使得,cause,“当前国内债券市场存在着持有人大会制度不健全、投资者自我保护意识薄弱、缺乏交叉违约以及抵质押手续登记和监管不畅等问题，这都,61,2,58,,,,
40,34,使得,effect,债券投资者相比贷款、信托等其他债务的债权人在某些方面更为弱势”,31,1,30,,,,
40,37,触发,cause,一方面，债券发行文件中关于投资者保护和债券持有人大会的内容比较模式化，召开持有人大会的,43,0,0,,,,
40,37,触发,effect,条件基本都是明显的信用资质恶化情景，缺乏细致的个性化情景约束；,31,0,0,,,,
40,39,使得,cause,钟汶权建议，“未来管理层应该继续加强投资者保护机制建设，加强信息披露和治理，,38,17,27,29,37,,
40,39,使得,effect,投资者在企业违约前能够采取行动，防止发行人陷入财务困境时为了帮助股东，而做出牺牲债券投资者利益的举动；,51,1,15,,,,
41,1,使得,cause,与股票市场不同的是，我国债券市场的多元管理结构,23,11,23,,,,
41,1,使得,effect,不同类型企业信用债的信息披露制度存在明显差异,22,1,22,,,,
41,5,由于,cause,主管部门的不同,7,1,7,,,,
41,5,由于,effect,信息披露规则也有较大的差异,13,1,13,,,,
41,26,使得,cause,其一，监督及惩罚机制的不完善,14,4,14,,,,
41,26,使得,effect,债券发行人缺乏信息披露的动力,14,1,14,,,,
41,29,使得,cause,其二，投资者自我保护意识的不足,15,4,14,,,,
41,29,使得,effect,债券市场难以形成有利于信息披露的市场环境,20,1,20,,,,
41,30,使得,cause,国内企业发行债券需要满足监管机构所设定的条件，并获得认可后方可发行，监管机构在事前需要确定发行人所披露信息的完整性和准确性，这一发行制度,68,1,61,,,,
41,30,使得,effect,监管机构相当于为国内企业债券附加了自身的信用；,23,1,22,,,,
41,34,由于,cause,监管机构的多元化，不同种类企业信用债券的信息披露要求并不一致,30,1,8,10,30,,
41,34,由于,effect,不利于各市场和产品间信用披露的协同运作,19,1,19,,,,
41,44,因此,cause,考虑到信息披露更多是发行人的义务,16,4,16,,,,
41,44,因此,effect,建立企业未完成信息披露义务时的惩罚机制尤为重要,23,1,23,,,,
41,47,使得,cause,对监管机构的依赖,8,1,8,,,,
41,47,使得,effect,投资者对于信息披露的要求不高，在信用事件中容易出现恐慌和“用脚投票”的行为,37,1,14,16,37,,
42,2,使得,cause,首先是作者将中国历史置于东北亚的整体格局中进行讨论，这,27,4,25,,,,
42,2,使得,effect,原来在中原史观中显得模糊的地方变得清晰，比如作者对宋代的讨论并不局限于宋代本身，而是从整个东北亚地区的地缘政治入手,57,1,19,,,,
42,8,以至于,cause,现在很多人都在问同一个问题，为什么一年前有这么多人对于中国经济如此悲观，各种“崩溃论”层出不穷，而现在又有这么多人对中国经济变得如此乐观,68,18,68,,,,
42,8,以至于,effect,出现了“新周期”的说法？,12,1,11,,,,
42,18,促使,cause,可是，从2014年下半年开始，受油价下跌影响，通缩突然恶化，经济的下行压力大增，并,41,17,20,24,29,31,39
42,18,促使,effect,高层在2015年底出台了供给侧结构性改革政策,22,1,22,,,,
42,20,导致,cause,是因为中国经济低迷,9,4,9,,,,
42,20,导致,effect,了油价的大幅下跌吗？,10,2,8,,,,
42,27,使得,cause,其实，当时有很多人认为油价暴跌将有利于中国经济，因为这,27,12,15,,,,
42,27,使得,effect,中国的能源进口成本下降,11,1,11,,,,
42,28,从而,cause,一个可能的解释是，油价大跌在全球范围内产生了通缩的现象,27,10,27,,,,
42,28,从而,effect,压缩了企业的盈利增速,10,1,10,,,,
42,30,引发,cause,如此循环往复，使得油价暴跌,13,10,13,,,,
42,30,引发,effect,了一场全球制造业的下行周期,13,2,13,,,,
42,33,使,cause,由此带来的再通胀的力量，,12,6,11,,,,
42,33,使,effect,中国经济从2016年开始逐渐走出通缩,18,1,18,,,,
42,35,作用,cause,当然，作为全球第二大经济体，中国不只是被动地接受外部影响，本国因素也起着重要作用，并反过来,45,0,0,,,,
42,35,作用,effect,于全球经济周期,7,0,0,,,,
42,45,导致,cause,一种流行的解释是，由于中国经济存在货币超发和房价泡沫等结构性问题，,33,12,32,,,,
42,45,导致,effect,了资本外流和人民币贬值,11,2,5,7,11,,
42,49,使得,cause,金融危机之后，发达国家纷纷启动非常规的货币政策，导致大量资金流入包括中国在内的新兴市场，,44,8,23,27,43,,
42,49,使得,effect,人民币存在很强的升值压力，外储上升也很快,20,1,12,14,20,,
